timestamp,match_id,home_team,away_team,signal_minute,signal_probability,actual_goal_minute,was_correct
2026-03-11T16:58:18.473433,1403785,PSIM Yogyakarta,Persijap,75,70.97795771479983,,
2026-03-11T16:58:19.785982,1497886,Jezero,Dečić,75,77.17071524966262,,
2026-03-11T16:58:27.738973,1497884,Bokelj,Mornar,60,75.9423076923077,,
2026-03-11T16:58:29.195800,1457693,Singida Black Stars,Simba,75,86.4587912087912,,
2026-03-11T16:58:36.878859,1522760,TransINVEST Vilnius,Banga,90,64.26315789473685,,
2026-03-11T16:58:38.454620,1403785,PSIM Yogyakarta,Persijap,75,70.97795771479983,,
2026-03-11T16:58:47.697344,1497884,Bokelj,Mornar,60,75.9423076923077,,
2026-03-11T16:58:56.822252,1522760,TransINVEST Vilnius,Banga,90,64.26315789473685,,
2026-03-11T16:59:19.779350,1497886,Jezero,Dečić,75,77.17071524966262,,
2026-03-11T16:59:29.260784,1457693,Singida Black Stars,Simba,75,84.91346153846153,,
2026-03-11T16:59:38.503482,1403785,PSIM Yogyakarta,Persijap,75,67.01713418160786,,
2026-03-11T16:59:47.731715,1497884,Bokelj,Mornar,60,75.64940828402366,,
2026-03-11T16:59:49.801554,1497886,Jezero,Dečić,75,77.17071524966262,,
2026-03-11T16:59:56.881124,1522760,TransINVEST Vilnius,Banga,90,60.840859545312995,,
2026-03-11T16:59:59.219635,1457693,Singida Black Stars,Simba,75,84.91346153846153,,
2026-03-11T17:00:08.448944,1403785,PSIM Yogyakarta,Persijap,75,63.32947089208433,,
2026-03-11T17:00:17.693385,1497884,Bokelj,Mornar,60,75.37820512820512,,
2026-03-11T17:00:19.788483,1497886,Jezero,Dečić,75,77.17071524966262,,
2026-03-11T17:00:26.823242,1522760,TransINVEST Vilnius,Banga,90,57.672064777327925,,
2026-03-11T17:00:29.241942,1457693,Singida Black Stars,Simba,75,84.91346153846153,,
2026-03-11T17:00:38.526911,1403785,PSIM Yogyakarta,Persijap,75,63.32947089208433,,
2026-03-11T17:00:47.748724,1497884,Bokelj,Mornar,60,75.37820512820512,,
2026-03-11T17:00:49.708770,1497886,Jezero,Dečić,75,77.17071524966262,,
2026-03-11T17:00:56.874248,1522760,TransINVEST Vilnius,Banga,90,57.672064777327925,,
2026-03-11T17:00:59.199639,1457693,Singida Black Stars,Simba,75,84.1923076923077,,
2026-03-11T17:01:08.457792,1403785,PSIM Yogyakarta,Persijap,75,59.887651821862356,,
2026-03-11T17:01:17.714655,1497884,Bokelj,Mornar,60,73.679005205321,,
2026-03-11T17:01:19.752910,1497886,Jezero,Dečić,75,77.17071524966262,,
2026-03-11T17:01:26.838946,1522760,TransINVEST Vilnius,Banga,90,56.9548872180451,,
2026-03-11T17:01:29.180191,1457693,Singida Black Stars,Simba,75,84.1923076923077,,
2026-03-11T17:01:38.429906,1403785,PSIM Yogyakarta,Persijap,75,59.887651821862356,,
2026-03-11T17:01:47.660428,1497884,Bokelj,Mornar,60,73.679005205321,,
2026-03-11T17:01:49.705182,1497886,Jezero,Dečić,75,77.17071524966262,,
2026-03-11T17:01:56.792639,1522760,TransINVEST Vilnius,Banga,90,56.9548872180451,,
2026-03-11T17:01:59.159916,1457693,Singida Black Stars,Simba,75,84.1923076923077,,
2026-03-11T17:02:08.411903,1403785,PSIM Yogyakarta,Persijap,75,56.66788559488051,,
2026-03-11T17:02:17.648398,1497884,Bokelj,Mornar,60,71.04889711014937,,
2026-03-11T17:02:19.613828,1497886,Jezero,Dečić,75,77.17071524966262,,
2026-03-11T17:02:26.771778,1522760,TransINVEST Vilnius,Banga,90,54.854809437386564,,
2026-03-11T17:02:29.029702,1457693,Singida Black Stars,Simba,75,84.1923076923077,,
2026-03-11T17:02:38.281750,1403785,PSIM Yogyakarta,Persijap,75,56.66788559488051,,
2026-03-11T17:02:47.503285,1497884,Bokelj,Mornar,60,71.04889711014937,,
2026-03-11T17:02:49.621003,1497886,Jezero,Dečić,75,77.17071524966262,,
2026-03-11T17:02:56.670394,1522760,TransINVEST Vilnius,Banga,90,54.854809437386564,,
2026-03-11T17:02:59.085624,1457693,Singida Black Stars,Simba,75,84.1923076923077,,
2026-03-11T17:03:08.349691,1403785,PSIM Yogyakarta,Persijap,75,53.64935475708502,,
2026-03-11T17:03:17.612455,1497884,Bokelj,Mornar,60,68.59412955465586,,
2026-03-11T17:03:19.620690,1497886,Jezero,Dečić,75,77.17071524966262,,
2026-03-11T17:03:26.739783,1522760,TransINVEST Vilnius,Banga,90,52.89473684210526,,
2026-03-11T17:03:29.128150,1457693,Singida Black Stars,Simba,75,84.1923076923077,,
2026-03-11T17:03:38.371416,1403785,PSIM Yogyakarta,Persijap,75,53.64935475708502,,
2026-03-11T17:03:47.621357,1497884,Bokelj,Mornar,60,68.59412955465586,,
2026-03-11T17:03:49.604261,1497886,Jezero,Dečić,75,77.17071524966262,,
2026-03-11T17:03:56.762358,1522760,TransINVEST Vilnius,Banga,90,52.89473684210526,,
2026-03-11T17:03:59.054457,1457693,Singida Black Stars,Simba,75,84.1923076923077,,
2026-03-11T17:04:08.303731,1403785,PSIM Yogyakarta,Persijap,75,50.813765182186245,,
2026-03-11T17:04:17.559706,1497884,Bokelj,Mornar,60,64.0878096295329,,
2026-03-11T17:04:19.631654,1497886,Jezero,Dečić,75,77.17071524966262,,
2026-03-11T17:04:26.679305,1522760,TransINVEST Vilnius,Banga,90,51.06112054329371,,
2026-03-11T17:04:29.075522,1457693,Singida Black Stars,Simba,75,84.1923076923077,,
2026-03-11T17:04:38.312106,1403785,PSIM Yogyakarta,Persijap,75,50.813765182186245,,
2026-03-11T17:04:47.542295,1497884,Bokelj,Mornar,60,67.75260872404337,,
2026-03-11T17:04:49.507514,1497886,Jezero,Dečić,75,72.27779513583292,,
2026-03-11T17:04:56.666746,1522760,TransINVEST Vilnius,Banga,90,51.06112054329371,,
2026-03-11T17:04:58.967355,1457693,Singida Black Stars,Simba,75,84.1923076923077,,
2026-03-11T17:05:08.202226,1403785,PSIM Yogyakarta,Persijap,90,65.75899023577043,,
2026-03-11T17:05:17.423741,1497884,Bokelj,Mornar,60,63.17818825910931,,
2026-03-11T17:05:19.562187,1497886,Jezero,Dečić,75,72.27779513583292,,
2026-03-11T17:05:27.145274,1489358,Fužinar,Aluminij,30,66.18589743589742,,
2026-03-11T17:05:49.582110,1497886,Jezero,Dečić,75,67.64025612312287,,
2026-03-11T17:05:59.063413,1457693,Singida Black Stars,Simba,75,84.1923076923077,,
2026-03-11T17:06:08.307530,1403785,PSIM Yogyakarta,Persijap,90,62.73944476576055,,
2026-03-11T17:06:17.565579,1497884,Bokelj,Mornar,60,58.89443319838057,,
2026-03-11T17:06:19.580958,1497886,Jezero,Dečić,75,67.64025612312287,,
2026-03-11T17:06:29.032242,1457693,Singida Black Stars,Simba,75,84.1923076923077,,
2026-03-11T17:06:37.413533,1489358,Fužinar,Aluminij,30,56.809716599190274,,
2026-03-11T17:06:38.313510,1403785,PSIM Yogyakarta,Persijap,75,60.18507807981492,,
2026-03-11T17:06:47.545985,1497884,Bokelj,Mornar,60,58.89443319838057,,
2026-03-11T17:06:49.517949,1497886,Jezero,Dečić,75,63.24213689271255,,
2026-03-11T17:06:58.990983,1457693,Singida Black Stars,Simba,75,84.1923076923077,,
2026-03-11T17:07:07.367325,1489358,Fužinar,Aluminij,30,56.809716599190274,,
2026-03-11T17:07:08.232181,1403785,PSIM Yogyakarta,Persijap,75,57.050438596491226,,
2026-03-11T17:07:17.460166,1497884,Bokelj,Mornar,60,54.87569659442725,,
2026-03-11T17:07:19.526652,1497886,Jezero,Dečić,75,63.24213689271255,,
2026-03-11T17:07:27.232786,1489358,Fužinar,Aluminij,45,80.0,,
2026-03-11T17:07:49.662902,1497886,Jezero,Dečić,75,62.391621911922655,,
2026-03-11T17:07:59.131750,1457693,Singida Black Stars,Simba,75,84.1923076923077,,
2026-03-11T17:08:18.431935,1403785,PSIM Yogyakarta,Persijap,75,64.49064449064448,,
2026-03-11T17:08:19.613312,1497886,Jezero,Dečić,75,62.391621911922655,,
