timestamp,match_id,home_team,away_team,signal_minute,signal_probability,actual_goal_minute,was_correct,match_minute,score
2026-03-11T18:28:20.834226,1481897,Unknown,Unknown,69,70.0,69,True,69,1:0
2026-03-11T18:28:20.834226,1489358,Unknown,Unknown,45,70.0,45,True,45,1:0
2026-03-11T18:28:20.834226,1489358,Unknown,Unknown,58,70.0,58,True,58,1:0
2026-03-11T18:28:20.834226,1489358,Unknown,Unknown,70,70.0,70,True,70,1:0
2026-03-11T18:28:20.834226,1497888,Unknown,Unknown,45,70.0,45,True,45,1:0
2026-03-11T18:28:20.834226,1497888,Unknown,Unknown,58,70.0,58,True,58,1:0
2026-03-11T18:28:20.834226,1497888,Unknown,Unknown,70,70.0,70,True,70,1:0
2026-03-11T18:28:20.834226,1497887,Unknown,Unknown,17,70.0,17,True,17,1:0
2026-03-11T18:28:20.834226,1497887,Unknown,Unknown,23,70.0,23,True,23,1:0
2026-03-11T18:28:20.834226,1497887,Unknown,Unknown,25,70.0,25,True,25,1:0
2026-03-11T18:28:20.834226,1497887,Unknown,Unknown,31,70.0,31,True,31,1:0
2026-03-11T18:28:20.834226,1497887,Unknown,Unknown,44,70.0,44,True,44,1:0
2026-03-11T18:28:20.834226,1497887,Unknown,Unknown,45,70.0,45,True,45,1:0
2026-03-11T18:28:20.834226,1522760,Unknown,Unknown,65,70.0,65,True,65,1:0
2026-03-11T18:28:20.834226,1522760,Unknown,Unknown,73,70.0,73,True,73,1:0
2026-03-11T18:28:20.834226,1522760,Unknown,Unknown,86,70.0,86,True,86,1:0
2026-03-11T18:28:20.834226,1512721,Unknown,Unknown,29,70.0,29,True,29,1:0
2026-03-11T18:28:20.834226,1512721,Unknown,Unknown,39,70.0,39,True,39,1:0
2026-03-11T18:28:20.834226,1512721,Unknown,Unknown,45,70.0,45,True,45,1:0
2026-03-11T18:28:20.834226,1523409,Unknown,Unknown,58,70.0,58,True,58,1:0
2026-03-11T18:28:20.834226,1523409,Unknown,Unknown,69,70.0,69,True,69,1:0
2026-03-11T18:28:20.834226,1515988,Unknown,Unknown,41,70.0,41,True,41,1:0
