timestamp,match_id,home_team,away_team,signal_minute,signal_probability,actual_goal_minute,was_correct
2026-03-11T15:09:31.865372,1457676,Tabora United,Namungo,75,71.99999999999999,,
2026-03-11T15:09:32.763374,1526358,Visakha,NagaWorld,75,66.00960273279352,,
2026-03-11T15:09:41.922329,1526359,Boeung Ket,National Defense,90,77.19582043343654,,
2026-03-11T15:09:42.034434,1515990,Surkhon,Bunyodkor,90,65.68903768296481,,
2026-03-11T15:09:51.388993,1522759,Hegelmann Litauen,Šiauliai,45,53.94736842105263,,
2026-03-11T15:10:01.872442,1457676,Tabora United,Namungo,75,71.99999999999999,,
2026-03-11T15:10:02.733040,1526358,Visakha,NagaWorld,75,66.00960273279352,,
2026-03-11T15:10:11.884672,1526359,Boeung Ket,National Defense,90,77.19582043343654,,
2026-03-11T15:10:12.001449,1515990,Surkhon,Bunyodkor,90,65.68903768296481,,
2026-03-11T15:10:21.366327,1522759,Hegelmann Litauen,Šiauliai,45,53.94736842105263,,
2026-03-11T15:10:31.890140,1457676,Tabora United,Namungo,75,69.33333333333333,,
2026-03-11T15:10:32.721062,1526358,Visakha,NagaWorld,75,60.9375581811672,,
2026-03-11T15:10:41.876362,1526359,Boeung Ket,National Defense,90,77.79733727810651,,
2026-03-11T15:10:41.989141,1515990,Surkhon,Bunyodkor,90,63.48178137651822,,
2026-03-11T15:10:51.350033,1522759,Hegelmann Litauen,Šiauliai,60,53.94736842105263,,
2026-03-11T15:11:01.798910,1457676,Tabora United,Namungo,75,69.33333333333333,,
2026-03-11T15:11:02.596128,1526358,Visakha,NagaWorld,75,60.9375581811672,,
2026-03-11T15:11:11.747508,1526359,Boeung Ket,National Defense,90,77.79733727810651,,
2026-03-11T15:11:11.863859,1515990,Surkhon,Bunyodkor,90,63.48178137651822,,
2026-03-11T15:11:21.221983,1522759,Hegelmann Litauen,Šiauliai,60,53.94736842105263,,
2026-03-11T15:11:41.895357,1457676,Tabora United,Namungo,75,63.77708978328174,,
2026-03-11T15:11:42.765010,1526358,Visakha,NagaWorld,75,56.535509446693666,,
2026-03-11T15:11:51.898087,1526359,Boeung Ket,National Defense,90,76.04124971354366,,
2026-03-11T15:11:52.012862,1515990,Surkhon,Bunyodkor,90,63.48178137651822,,
2026-03-11T15:12:01.473921,1522759,Hegelmann Litauen,Šiauliai,60,53.94736842105263,,
2026-03-11T15:12:01.812379,1457676,Tabora United,Namungo,75,63.77708978328174,,
2026-03-11T15:12:02.633461,1526358,Visakha,NagaWorld,75,56.535509446693666,,
2026-03-11T15:12:11.780201,1526359,Boeung Ket,National Defense,90,76.04124971354366,,
2026-03-11T15:12:11.879426,1515990,Surkhon,Bunyodkor,90,63.48178137651822,,
2026-03-11T15:12:21.362715,1522759,Hegelmann Litauen,Šiauliai,60,53.94736842105263,,
2026-03-11T15:12:31.903813,1457676,Tabora United,Namungo,75,63.77708978328174,,
2026-03-11T15:12:42.812118,1526358,Visakha,NagaWorld,75,51.0814955941891,,
2026-03-11T15:12:51.944638,1526359,Boeung Ket,National Defense,90,74.35020242914979,,
2026-03-11T15:12:52.056635,1515990,Surkhon,Bunyodkor,75,50.832851359167144,,
2026-03-11T15:13:01.510021,1522759,Hegelmann Litauen,Šiauliai,60,50.877192982456144,,
2026-03-11T15:13:01.858001,1457676,Tabora United,Namungo,75,63.77708978328174,,
2026-03-11T15:13:02.673430,1526358,Visakha,NagaWorld,75,57.40223862824483,,
2026-03-11T15:13:11.841913,1526359,Boeung Ket,National Defense,90,74.35020242914979,,
2026-03-11T15:13:11.950745,1515990,Surkhon,Bunyodkor,75,50.832851359167144,,
2026-03-11T15:13:21.422827,1522759,Hegelmann Litauen,Šiauliai,60,50.877192982456144,,
2026-03-11T15:13:41.875966,1457676,Tabora United,Namungo,75,59.75033738191632,,
2026-03-11T15:13:42.683232,1526358,Visakha,NagaWorld,75,54.820113801515625,,
2026-03-11T15:13:51.833886,1526359,Boeung Ket,National Defense,90,72.72064777327935,,
2026-03-11T15:13:51.946644,1515990,Surkhon,Bunyodkor,90,70.71462197533188,,
2026-03-11T15:14:01.391408,1522759,Hegelmann Litauen,Šiauliai,75,53.94736842105263,,
2026-03-11T15:14:01.851940,1457676,Tabora United,Namungo,75,59.75033738191632,,
2026-03-11T15:14:02.725907,1526358,Visakha,NagaWorld,75,54.820113801515625,,
2026-03-11T15:14:11.899378,1526359,Boeung Ket,National Defense,90,72.72064777327935,,
2026-03-11T15:14:12.014823,1515990,Surkhon,Bunyodkor,90,70.71462197533188,,
2026-03-11T15:14:21.478505,1522759,Hegelmann Litauen,Šiauliai,75,53.94736842105263,,
2026-03-11T15:14:41.877803,1457676,Tabora United,Namungo,75,51.763157894736835,,
2026-03-11T15:14:42.738661,1526358,Visakha,NagaWorld,75,50.29080793420415,,
2026-03-11T15:14:51.884414,1526359,Boeung Ket,National Defense,90,71.14929149797571,,
2026-03-11T15:14:52.015165,1515990,Surkhon,Bunyodkor,90,67.58097165991903,,
2026-03-11T15:15:01.468605,1522759,Hegelmann Litauen,Šiauliai,90,53.94736842105263,,
2026-03-11T15:15:01.806650,1457676,Tabora United,Namungo,75,51.763157894736835,,
2026-03-11T15:15:02.640369,1526358,Visakha,NagaWorld,75,50.29080793420415,,
