timestamp,match_id,home_team,away_team,signal_minute,signal_probability,actual_goal_minute,was_correct
2026-03-11T16:51:27.035471,1522760,TransINVEST Vilnius,Banga,60,50.9412955465587,,
2026-03-11T16:51:29.592083,1457693,Singida Black Stars,Simba,60,70.9157509157509,,
2026-03-11T16:51:38.842367,1403785,PSIM Yogyakarta,Persijap,60,70.0080971659919,,
2026-03-11T16:51:48.080088,1497884,Bokelj,Mornar,45,51.584210526315786,,
2026-03-11T16:51:50.099850,1497886,Jezero,Dečić,75,77.17071524966262,,
2026-03-11T16:51:57.204812,1522760,TransINVEST Vilnius,Banga,60,50.9412955465587,,
2026-03-11T16:51:59.544570,1457693,Singida Black Stars,Simba,60,67.35384615384615,,
2026-03-11T16:52:08.788582,1403785,PSIM Yogyakarta,Persijap,60,66.6203007518797,,
2026-03-11T16:52:18.025860,1497884,Bokelj,Mornar,60,67.98060941828255,,
2026-03-11T16:52:27.170291,1522760,TransINVEST Vilnius,Banga,75,64.34689963775836,,
2026-03-11T16:52:49.983497,1497886,Jezero,Dečić,75,77.17071524966262,,
2026-03-11T16:52:59.441535,1457693,Singida Black Stars,Simba,60,63.88995148995148,,
2026-03-11T16:53:08.692309,1403785,PSIM Yogyakarta,Persijap,60,61.96153846153846,,
2026-03-11T16:53:17.920571,1497884,Bokelj,Mornar,45,57.05043859649122,,
2026-03-11T16:53:19.990457,1497886,Jezero,Dečić,75,77.17071524966262,,
2026-03-11T16:53:27.074604,1522760,TransINVEST Vilnius,Banga,75,60.03795546558705,,
2026-03-11T16:53:29.451298,1457693,Singida Black Stars,Simba,60,63.88995148995148,,
2026-03-11T16:53:38.705850,1403785,PSIM Yogyakarta,Persijap,60,61.96153846153846,,
2026-03-11T16:53:47.965352,1497884,Bokelj,Mornar,45,57.05043859649122,,
2026-03-11T16:53:50.020757,1497886,Jezero,Dečić,75,77.17071524966262,,
2026-03-11T16:53:57.117485,1522760,TransINVEST Vilnius,Banga,75,60.03795546558705,,
2026-03-11T16:54:19.548023,1457693,Singida Black Stars,Simba,60,60.51632928475033,,
2026-03-11T16:54:20.091317,1497886,Jezero,Dečić,75,77.17071524966262,,
2026-03-11T16:54:28.771216,1403785,PSIM Yogyakarta,Persijap,60,57.70788593557473,,
2026-03-11T16:54:29.544339,1457693,Singida Black Stars,Simba,60,60.51632928475033,,
2026-03-11T16:54:38.036569,1497884,Bokelj,Mornar,45,52.33684210526316,,
2026-03-11T16:54:38.779732,1403785,PSIM Yogyakarta,Persijap,60,57.70788593557473,,
2026-03-11T16:54:47.153940,1522760,TransINVEST Vilnius,Banga,75,56.1393869288606,,
2026-03-11T16:54:48.064251,1497884,Bokelj,Mornar,45,52.33684210526316,,
2026-03-11T16:54:57.201747,1522760,TransINVEST Vilnius,Banga,75,56.1393869288606,,
2026-03-11T16:55:00.071702,1497886,Jezero,Dečić,75,77.17071524966262,,
2026-03-11T16:55:09.723162,1403785,PSIM Yogyakarta,Persijap,60,53.808704453441294,,
2026-03-11T16:55:18.966370,1497884,Bokelj,Mornar,60,71.5,,
2026-03-11T16:55:19.904908,1497886,Jezero,Dečić,75,77.17071524966262,,
2026-03-11T16:55:28.106001,1522760,TransINVEST Vilnius,Banga,75,52.595233713654764,,
2026-03-11T16:55:29.418689,1457693,Singida Black Stars,Simba,60,57.226035502958574,,
2026-03-11T16:55:38.641402,1403785,PSIM Yogyakarta,Persijap,60,53.808704453441294,,
2026-03-11T16:55:47.857264,1497884,Bokelj,Mornar,60,71.5,,
2026-03-11T16:55:50.309871,1457693,Singida Black Stars,Simba,60,54.012820512820504,,
2026-03-11T16:55:56.997075,1522760,TransINVEST Vilnius,Banga,75,52.595233713654764,,
2026-03-11T16:55:59.545356,1403785,PSIM Yogyakarta,Persijap,60,50.22145748987855,,
2026-03-11T16:56:08.787653,1497884,Bokelj,Mornar,60,71.5,,
