timestamp,match_id,home_team,away_team,signal_minute,signal_probability,actual_goal_minute,was_correct
2026-03-11T15:27:10.744444,1457676,Tabora United,Namungo,90,67.19129554655872,,
2026-03-11T15:27:20.634575,1526358,Visakha,NagaWorld,90,56.567268763625044,,
2026-03-11T15:27:20.852677,1515990,Surkhon,Bunyodkor,90,71.84210526315789,,
2026-03-11T15:27:30.286835,1522759,Hegelmann Litauen,Šiauliai,60,51.17540925893329,,
2026-03-11T15:27:40.666223,1457676,Tabora United,Namungo,90,67.19129554655872,,
2026-03-11T15:27:50.553511,1526358,Visakha,NagaWorld,90,56.567268763625044,,
2026-03-11T15:27:50.783467,1515990,Surkhon,Bunyodkor,90,71.84210526315789,,
2026-03-11T15:28:00.265419,1522759,Hegelmann Litauen,Šiauliai,60,52.25400457665904,,
2026-03-11T15:28:10.659744,1457676,Tabora United,Namungo,90,67.19129554655872,,
2026-03-11T15:28:20.512895,1526358,Visakha,NagaWorld,90,56.567268763625044,,
2026-03-11T15:28:20.743796,1515990,Surkhon,Bunyodkor,90,71.84210526315789,,
2026-03-11T15:28:30.237377,1522759,Hegelmann Litauen,Šiauliai,60,52.25400457665904,,
2026-03-11T15:28:40.667646,1457676,Tabora United,Namungo,90,67.19129554655872,,
2026-03-11T15:28:50.530785,1526358,Visakha,NagaWorld,90,56.567268763625044,,
2026-03-11T15:28:50.751311,1515990,Surkhon,Bunyodkor,90,71.84210526315789,,
2026-03-11T15:29:00.199828,1522759,Hegelmann Litauen,Šiauliai,60,58.18077803203662,,
2026-03-11T15:29:10.553864,1457676,Tabora United,Namungo,90,67.19129554655872,,
2026-03-11T15:29:20.479590,1526358,Visakha,NagaWorld,90,56.567268763625044,,
2026-03-11T15:29:20.701712,1515990,Surkhon,Bunyodkor,90,71.84210526315789,,
2026-03-11T15:29:30.136934,1522759,Hegelmann Litauen,Šiauliai,60,58.18077803203662,,
2026-03-11T15:29:40.603311,1457676,Tabora United,Namungo,90,67.19129554655872,,
2026-03-11T15:29:50.496997,1526358,Visakha,NagaWorld,90,56.567268763625044,,
2026-03-11T15:29:50.705820,1515990,Surkhon,Bunyodkor,90,71.84210526315789,,
2026-03-11T15:30:00.148080,1522759,Hegelmann Litauen,Šiauliai,60,58.18077803203662,,
2026-03-11T15:30:10.563139,1457676,Tabora United,Namungo,90,67.19129554655872,,
2026-03-11T15:30:20.431831,1526358,Visakha,NagaWorld,90,56.567268763625044,,
2026-03-11T15:30:20.660388,1515990,Surkhon,Bunyodkor,90,71.84210526315789,,
2026-03-11T15:30:30.107175,1522759,Hegelmann Litauen,Šiauliai,60,58.18077803203662,,
2026-03-11T15:30:40.602702,1457676,Tabora United,Namungo,90,67.19129554655872,,
2026-03-11T15:30:50.549173,1526358,Visakha,NagaWorld,90,56.567268763625044,,
2026-03-11T15:30:50.773388,1515990,Surkhon,Bunyodkor,90,71.84210526315789,,
2026-03-11T15:31:00.212375,1522759,Hegelmann Litauen,Šiauliai,60,58.18077803203662,,
2026-03-11T15:31:10.576414,1457676,Tabora United,Namungo,90,67.19129554655872,,
2026-03-11T15:31:20.444204,1526358,Visakha,NagaWorld,90,56.567268763625044,,
2026-03-11T15:31:20.643549,1515990,Surkhon,Bunyodkor,90,71.84210526315789,,
2026-03-11T15:31:30.115559,1522759,Hegelmann Litauen,Šiauliai,60,58.18077803203662,,
2026-03-11T15:31:40.384850,1457676,Tabora United,Namungo,90,67.19129554655872,,
2026-03-11T15:31:50.276908,1526358,Visakha,NagaWorld,90,56.567268763625044,,
2026-03-11T15:31:50.503013,1515990,Surkhon,Bunyodkor,90,71.84210526315789,,
2026-03-11T15:31:59.987042,1522759,Hegelmann Litauen,Šiauliai,60,58.18077803203662,,
2026-03-11T15:32:10.401215,1457676,Tabora United,Namungo,90,67.19129554655872,,
2026-03-11T15:32:20.265896,1526358,Visakha,NagaWorld,90,56.567268763625044,,
2026-03-11T15:32:20.485063,1515990,Surkhon,Bunyodkor,90,71.84210526315789,,
2026-03-11T15:32:29.921300,1522759,Hegelmann Litauen,Šiauliai,60,58.18077803203662,,
2026-03-11T15:32:42.504761,1515990,Surkhon,Bunyodkor,90,71.84210526315789,,
2026-03-11T15:33:02.031605,1522759,Hegelmann Litauen,Šiauliai,75,55.263157894736835,,
2026-03-11T15:33:02.358069,1515990,Surkhon,Bunyodkor,90,71.84210526315789,,
2026-03-11T15:33:11.799734,1522759,Hegelmann Litauen,Šiauliai,75,55.263157894736835,,
2026-03-11T15:33:32.357934,1515990,Surkhon,Bunyodkor,90,71.84210526315789,,
2026-03-11T15:33:41.811655,1522759,Hegelmann Litauen,Šiauliai,75,55.263157894736835,,
2026-03-11T15:34:02.389796,1515990,Surkhon,Bunyodkor,90,71.84210526315789,,
2026-03-11T15:34:11.861585,1522759,Hegelmann Litauen,Šiauliai,75,55.263157894736835,,
2026-03-11T15:34:32.422791,1515990,Surkhon,Bunyodkor,90,71.84210526315789,,
2026-03-11T15:34:41.872424,1522759,Hegelmann Litauen,Šiauliai,75,55.263157894736835,,
2026-03-11T15:35:02.313991,1515990,Surkhon,Bunyodkor,90,71.84210526315789,,
2026-03-11T15:35:11.764921,1522759,Hegelmann Litauen,Šiauliai,75,55.263157894736835,,
2026-03-11T15:35:32.346210,1515990,Surkhon,Bunyodkor,90,67.00447928331467,,
2026-03-11T15:35:41.762138,1522759,Hegelmann Litauen,Šiauliai,75,51.06907894736842,,
2026-03-11T15:36:02.405687,1515990,Surkhon,Bunyodkor,90,67.00447928331467,,
2026-03-11T15:36:11.844023,1522759,Hegelmann Litauen,Šiauliai,75,51.06907894736842,,
2026-03-11T15:36:32.365367,1515990,Surkhon,Bunyodkor,90,67.00447928331467,,
2026-03-11T15:36:41.812901,1522759,Hegelmann Litauen,Šiauliai,75,51.06907894736842,,
2026-03-11T15:37:02.373245,1515990,Surkhon,Bunyodkor,90,67.00447928331467,,
2026-03-11T15:37:11.847250,1522759,Hegelmann Litauen,Šiauliai,75,51.06907894736842,,
2026-03-11T15:37:32.443523,1515990,Surkhon,Bunyodkor,90,67.00447928331467,,
2026-03-11T15:37:41.886946,1522759,Hegelmann Litauen,Šiauliai,75,51.06907894736842,,
2026-03-11T15:38:02.313642,1515990,Surkhon,Bunyodkor,90,59.319838056680155,,
2026-03-11T15:38:11.796495,1522759,Hegelmann Litauen,Šiauliai,90,57.18045112781955,,
2026-03-11T15:38:32.277090,1515990,Surkhon,Bunyodkor,90,59.319838056680155,,
2026-03-11T15:38:41.724660,1522759,Hegelmann Litauen,Šiauliai,90,57.18045112781955,,
2026-03-11T15:39:02.255277,1515990,Surkhon,Bunyodkor,90,56.70278637770898,,
2026-03-11T15:39:11.738829,1522759,Hegelmann Litauen,Šiauliai,90,55.263157894736835,,
2026-03-11T15:39:32.302532,1515990,Surkhon,Bunyodkor,90,56.70278637770898,,
2026-03-11T15:39:41.790678,1522759,Hegelmann Litauen,Šiauliai,90,55.263157894736835,,
2026-03-11T15:40:02.274063,1515990,Surkhon,Bunyodkor,90,54.18639053254437,,
2026-03-11T15:40:11.741397,1522759,Hegelmann Litauen,Šiauliai,90,53.449502133712656,,
2026-03-11T15:40:32.456826,1515990,Surkhon,Bunyodkor,90,54.18639053254437,,
2026-03-11T15:40:41.883852,1522759,Hegelmann Litauen,Šiauliai,90,53.449502133712656,,
2026-03-11T15:41:02.252810,1515990,Surkhon,Bunyodkor,90,51.76495302115956,,
